1- متوسط قيمت فروش يك مترمربع زمين يا زمين ساختمان مسكوني كلنگي به تفکیک مناطق شهرداري تهران 1399-1388 (هزار ريال),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
منطقه,سال 99,سال 98,,,,سال 97,,,,سال 96,,,,سال 95,,,,سال 94,,,,سال 93,,,,سال 92,,,,سال 91,,,,سال 90,,,, سال 89,,,,سال 88,,,
,بهار  ,زمستان ,پاييز ,تابستان ,بهار  ,زمستان ,پاييز ,تابستان ,بهار ,زمستان ,پاييز ,تابستان ,بهار ,زمستان ,پاييز ,تابستان ,بهار ,زمستان ,پاييز ,تابستان ,بهار ,زمستان ,پاييز ,تابستان ,بهار ,زمستان ,پاييز ,تابستان ,بهار ,زمستان ,پاييز ,تابستان ,بهار ,زمستان ,پاييز ,تابستان ,بهار ,زمستان ,پاييز ,تابستان ,بهار ,زمستان ,پاييز ,تابستان ,بهار 
شهر تهران,255109,208150,187330,186604,169567,145466,100579,80545,61756,59922,52757,52067,46195,44899,44736,45698,45779,44408,44102,43948,44084,44150,44104,42060,44104,42469,43621,48360,49047,47455,34347,24460,22601,20032,19439,18228,16099,16803,16360,15812,15883,14327,13701,12920,11547
منطقه 1,536516,436364,386496,374741,337304,311466,196143,161253,117251,115318,99522,97236,82779,82204,80431,82316,82271,82170,80211,79026,78650,81588,80292,74811,77498,74680,75631,84340,85097,84552,59108,36767,33799,29333,28490,27031,22046,21561,20969,20512,21514,21889,-,,21857
منطقه 2,493610,409758,367990,354481,317353,295660,187648,151253,110991,110187,95139,91181,77557,77273,75995,77938,77488,76418,75690,75411,75309,74713,73831,70257,73756,70321,71916,79449,79641,77434,52883,33031,30728,27113,26093,24673,20074,19468,19197,18561,19702,18382,-,,25567
منطقه 3,549241,448995,399400,381034,342644,317395,198806,168582,128156,127318,110701,107493,91872,91154,89524,92227,92120,90859,88864,88357,89044,90856,89594,84255,87878,84091,85803,94055,94681,92369,63321,39629,37019,31945,29287,28309,24528,23823,22964,-,25615,-,-,,24384
منطقه 4,339263,278281,253328,242756,217746,194430,129240,97016,76449,74718,65243,63122,55869,55825,55668,57222,57426,55787,55195,54958,55861,55338,55037,51409,54327,53031,54501,61461,61608,59396,46097,29015,25710,23287,22162,20545,17263,17202,16786,16167,16478,-,-,,14381
منطقه پنج,267408,222945,204017,199148,191008,155141,117122,98417,70257,66115,59107,58902,50199,50050,49799,50927,50964,49146,48973,48899,49150,48909,48544,45994,48714,46527,47986,53945,54622,54058,34916,28415,25673,22666,21616,20318,17887,17204,16710,16227,17315,,-,,
منطقه 6,411897,342570,311527,299757,291550,253211,169671,128920,103869,98645,85169,82744,73625,73191,72696,74287,74695,72833,71892,72131,71823,72073,71661,67805,70893,67970,69536,74906,76269,74974,51904,36479,34910,30189,29317,27017,22024,21492,-,-,-,,-,,44414
منطقه 7,264772,222704,201879,196932,192607,159778,131663,101034,77710,77308,68273,68150,57894,57816,57638,59160,59294,58171,57204,56902,57262,58514,58253,54213,56805,53836,54492,61338,62750,61506,42378,29972,29942,25225,24793,22577,19418,18418,17142,15903,16830,-,17500,,15500
منطقه 8,252832,200059,183460,181895,180932,148047,98198,80449,62931,62654,55005,53249,46133,46094,46152,47209,47372,45741,45926,46076,45837,45320,45831,44397,45858,43992,46619,50929,51027,49282,40384,29959,27181,24075,23096,22539,19982,19434,21816,-,17741,-,-,,
