"Lable"	"lable_num"
"203"	-1	203
"71"	-1	71
"93"	-1	93
"179"	-1	179
"136"	1	136
"86"	-1	86
"91"	1	91
"184"	1	184
"72"	-1	72
"118"	-1	118
"121"	-1	121
"279"	-1	279
"159"	1	159
"6"	-1	6
"109"	1	109
"262"	-1	262
"275"	1	275
"225"	1	225
"66"	-1	66
"87"	-1	87
"106"	-1	106
"134"	1	134
"39"	-1	39
"76"	-1	76
"30"	1	30
"204"	-1	204
"81"	1	81
"33"	-1	33
"120"	1	120
"172"	1	172
"251"	-1	251
"92"	-1	92
"141"	-1	141
"255"	1	255
"11"	-1	11
"188"	-1	188
"49"	-1	49
"180"	1	180
"217"	-1	217
"16"	1	16
"1"	-1	1
"190"	-1	190
"181"	1	181
"283"	1	283
"297"	1	297
"82"	-1	82
"221"	1	221
"36"	1	36
"244"	-1	244
"21"	1	21
"183"	1	183
"157"	-1	157
"249"	1	249
"122"	-1	122
"202"	-1	202
"74"	-1	74
"176"	-1	176
"240"	1	240
"144"	1	144
"85"	1	85
"228"	1	228
"63"	-1	63
"126"	1	126
"243"	-1	243
"233"	1	233
"226"	-1	226
"102"	-1	102
"4"	1	4
"67"	1	67
"211"	-1	211
"37"	1	37
"281"	1	281
"216"	1	216
"114"	-1	114
"75"	-1	75
"206"	1	206
"28"	1	28
"84"	1	84
"299"	-1	299
"152"	-1	152
"231"	-1	231
"140"	1	140
"55"	1	55
"5"	1	5
"150"	1	150
"187"	1	187
"280"	-1	280
"70"	-1	70
"64"	1	64
"62"	1	62
"94"	1	94
"17"	1	17
"236"	-1	236
"193"	-1	193
"148"	-1	148
"113"	-1	113
"20"	1	20
"290"	1	290
"9"	-1	9
"41"	1	41
"19"	1	19
"80"	1	80
"47"	1	47
"215"	1	215
"196"	1	196
"73"	-1	73
"173"	1	173
"163"	1	163
"210"	-1	210
"247"	-1	247
"15"	-1	15
"258"	1	258
"301"	-1	301
"124"	1	124
"292"	1	292
"259"	-1	259
"42"	-1	42
"165"	1	165
"60"	1	60
"138"	-1	138
"241"	1	241
"238"	1	238
"189"	-1	189
"105"	1	105
"130"	1	130
"239"	1	239
"282"	1	282
"35"	1	35
"79"	1	79
"50"	1	50
"209"	1	209
"302"	-1	302
"125"	1	125
"274"	1	274
"154"	1	154
"40"	-1	40
"222"	1	222
"250"	-1	250
"116"	1	116
"289"	-1	289
"115"	-1	115
"235"	1	235
"160"	-1	160
"264"	1	264
"195"	-1	195
"89"	-1	89
"295"	-1	295
"182"	-1	182
"100"	-1	100
"205"	1	205
"270"	-1	270
"220"	1	220
"155"	1	155
"162"	1	162
"139"	1	139
"266"	1	266
"108"	-1	108
"78"	1	78
"194"	1	194
"69"	-1	69
"58"	-1	58
"133"	-1	133
"293"	1	293
"129"	1	129
"22"	-1	22
"232"	1	232
"192"	-1	192
"158"	1	158
"218"	-1	218
"277"	1	277
"52"	1	52
"51"	-1	51
"26"	1	26
"300"	1	300
"142"	-1	142
"99"	1	99
"271"	1	271
"224"	1	224
"171"	1	171
"151"	-1	151
"2"	-1	2
"168"	1	168
"276"	1	276
"45"	-1	45
"268"	-1	268
"128"	1	128
"252"	1	252
"57"	-1	57
"54"	1	54
"117"	-1	117
"177"	-1	177
"65"	-1	65
"27"	1	27
"96"	-1	96
"288"	-1	288
"25"	1	25
"14"	-1	14
"208"	-1	208
"169"	1	169
"256"	1	256
"164"	1	164
"32"	1	32
"263"	-1	263
"137"	1	137
"44"	1	44
"146"	1	146
"98"	1	98
"46"	-1	46
"219"	1	219
"267"	-1	267
"230"	1	230
"191"	-1	191
"135"	1	135
"234"	1	234
"285"	1	285
"43"	1	43
"149"	1	149
"123"	-1	123
"174"	1	174
"112"	1	112
"185"	1	185
"186"	-1	186
"261"	1	261
"10"	1	10
"269"	-1	269
"253"	-1	253
"212"	1	212
"83"	-1	83
"48"	-1	48
"61"	-1	61
"131"	1	131
"147"	-1	147
"223"	-1	223
"24"	-1	24
"254"	1	254
"119"	-1	119
"156"	-1	156
"145"	-1	145
"31"	1	31
"97"	1	97
